#F(pN),DA(mum),sigmaDA(mum),DT(mum),sigmaDT(mum)
0,7.747252747,0.549450549,7.692307692,0.549450549
15.73426573,9.230769231,0.769230769,6.703296703,0.659340659
19.23076923,9.67032967,0.824175824,6.483516484,0.604395604
30.41958042,10,1.043956044,6.098901099,0.659340659
38.11188811,10.82417582,1.153846154,5.934065934,0.824175824
47.2027972,11.26373626,1.428571429,5.43956044,0.989010989
67.83216783,12.25274725,1.483516484,4.945054945,0.989010989
87.76223776,13.02197802,1.813186813,4.725274725,1.043956044
109.0909091,13.68131868,1.703296703,4.505494505,1.043956044
130.7692308,14.01098901,1.978021978,4.505494505,0.989010989
151.048951,14.50549451,2.087912088,4.505494505,0.934065934
172.3776224,14.78021978,2.142857143,4.505494505,0.879120879
192.3076923,15.16483516,2.252747253,4.285714286,0.879120879
